ID number,Date,Latitude,Longitude,Category,Pressure
2005200601,2005081906,58,-39,HF,965
2005200601,2005081912,59.3,-37,HF,964
2005200601,2005081918,62,-38,HF,964
2005200601,2005082000,63,-39,HF,964
2005200602,2005082406,60.1,-8.8,HF,963
2005200603,2005082906,62,-9,HF,972
2005200604,2005091106,49.8,-34.6,HF,975
2005200604,2005091112,52,-33,HF,971
2005200604,2005091118,54.5,-32,HF,969
2005200604,2005091200,56,-31.8,HF,962
2005200604,2005091206,57,-30.2,HF,967
2005200604,2005091212,58.2,-27,HF,970
2005200605,2005092906,57,-39.1,HF,970
2005200605,2005092912,58.5,-36,HF,968
2005200605,2005092918,60.1,-29.7,HF,969
2005200605,2005093000,60.4,-28,HF,969
2005200606,2005100918,59.2,-14.8,HF,969
2005200607,2005101212,49,-42,HF,976
2005200607,2005101218,48.5,-41,HF,969
2005200607,2005101300,47.5,-39.3,HF,968
2005200607,2005101306,47,-38,HF,968
2005200607,2005101312,47.1,-35.4,HF,969
2005200607,2005101318,47.8,-32.5,HF,972
2005200608,2005110318,57.5,-52,HF,953
2005200608,2005110400,57.8,-52,HF,944
2005200608,2005110406,57,-49,HF,942
2005200608,2005110412,57.7,-46,HF,948
2005200608,2005110418,59,-45,HF,951
2005200609,2005111012,62,-33.8,HF,974
2005200609,2005111018,62,-32,HF,974
2005200610,2005111118,59,-9,HF,967
2005200610,2005111200,60.1,-4.7,HF,965
2005200610,2005111206,60.7,-1,HF,970
2005200611,2005120600,53,-47.5,HF,972
2005200611,2005120606,54,-45,HF,964
2005200611,2005120612,56,-45,HF,952
2005200612,2005120718,52,-42,HF,962
2005200612,2005120800,55,-39,HF,952
2005200612,2005120806,57.7,-37,HF,947
2005200612,2005120812,60.1,-36.6,HF,948
2005200613,2005121000,42.3,-66.8,HF,984
2005200613,2005121006,43,-61,HF,981
2005200613,2005121012,44,-58,HF,978
2005200614,2006011018,59,-13,HF,952
2005200614,2006011100,62.7,-7,HF,947
2005200614,2006011106,63,-4,HF,NOPRES
2005200614,2006011112,64,1,HF,NOPRES
2005200615,2006011112,55,-34,HF,966
2005200615,2006011118,58.1,-30,HF,960
2005200616,2006011500,59,-18,HF,968
2005200617,2006012218,50.5,-50.2,HF,970
2005200617,2006012300,51,-48.1,HF,962
2005200617,2006012306,52.2,-46,HF,958
2005200617,2006012312,53.7,-45.8,HF,952
2005200617,2006012318,55,-42,HF,956
2005200617,2006012400,56,-44.8,HF,958
2005200618,2006012912,59.9,-36.6,HF,962
2005200619,2006020100,40,-64.9,HF,976
2005200619,2006020106,41.7,-62.9,HF,973
2005200619,2006020112,42.1,-60.7,HF,966
2005200619,2006020118,42.5,-57.8,HF,965
2005200619,2006020200,43,-57,HF,968
2005200619,2006020206,43.1,-55,HF,970
2005200620,2006021112,49.9,-44.8,HF,960
2005200620,2006021118,50.8,-43,HF,956
2005200620,2006021200,52,-40.3,HF,953
2005200620,2006021206,53,-38.8,HF,956
2005200620,2006021212,54,-36.2,HF,958
2005200621,2006021400,52.5,-49,HF,959
2005200621,2006021406,54.6,-46,HF,962
2005200621,2006021412,55,-42,HF,964
2005200621,2006021418,57,-38,HF,971
2005200622,2006022400,52.5,-49,HF,978
2005200622,2006022406,55,-52.1,HF,972
2005200622,2006022412,54.7,-55,HF,971
2005200622,2006022418,56,-57.5,HF,970
2005200622,2006022500,57.5,-59.3,HF,979
2005200623,2006022412,40,-54,HF,977
2005200623,2006022418,41,-50,HF,970
2005200623,2006022500,42.5,-47.8,HF,968
2005200623,2006022506,45,-47.7,HF,967
2005200623,2006022512,46,-48,HF,953
2005200623,2006022518,47.5,-48,HF,955
2005200623,2006022600,49,-50.2,HF,960
2005200623,2006022606,50.3,-52,HF,967
2005200623,2006022612,52,-54.8,HF,969
2005200624,2006022512,47.9,-58,HF,992
2005200624,2006022518,34.7,-52.5,HF,993
2005200625,2006022612,44.9,-39.2,HF,978
2005200625,2006022618,49,-44,HF,978
2005200625,2006022700,50.6,-49,HF,978
2005200626,2006022800,60,-46,HF,NOPRES
2005200627,2006022800,51,-48,HF,966
2005200627,2006022806,43.9,-50.1,HF,964
2005200627,2006022812,57,-54,HF,960
2005200627,2006022818,59,-59,HF,960
2005200628,2006030100,52.1,-40.6,HF,973
2005200628,2006030106,55,-45,HF,972
2005200628,2006030112,56,-50.2,HF,980
2005200628,2006030118,58,-57,HF,987
2005200629,2006030600,56,-46,HF,964
2005200629,2006030606,46.5,-44.5,HF,964
2005200630,2006030900,54,-20.4,HF,980
2005200630,2006030906,55,-17.5,HF,980
2005200631,2006032400,40.9,-46,HF,964
2005200631,2006032406,40.8,-45.8,HF,964
2005200632,2006032600,55,-34,HF,984
2005200632,2006032606,54.7,-34.2,HF,984
2005200632,2006032612,54.7,-34.2,HF,988
2005200633,2006032618,40.7,-62,HF,973
2005200633,2006032700,40.8,-60.2,HF,972
2005200633,20060327,40.8,-58,HF,972
